,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Colby Robak\robakco01,24,D,TOT,12,0,1,1,2,2,0.4,0,0,0,0,1,0,0,8,0.0,167,13:55,10,16,0,0,
Chad Ruhwedel\ruhwech01,24,D,BUF,4,0,1,1,3,0,0.4,0,0,0,0,1,0,0,4,0.0,50,12:28,2,6,0,0,
Jeff Schultz\schulje02,28,D,LAK,9,0,1,1,1,4,0.3,0,0,0,0,1,0,0,7,0.0,151,16:45,9,10,0,0,
Tom Sestito\sestito01,27,LW,VAN,3,0,1,1,1,7,0.1,0,0,0,0,1,0,0,1,0.0,19,6:14,0,10,0,0,
Michael Sgarbossa\sgarbmi01,22,C,COL,3,0,1,1,0,10,0.1,0,0,0,0,1,0,0,2,0.0,21,7:06,1,0,9,11,45.0
Brendan Shinnimin\shinnbr01,24,C,ARI,12,0,1,1,-1,8,-0.1,0,0,0,0,1,0,0,10,0.0,132,11:02,4,12,42,59,41.6
Mike Sislo\sislomi01,27,RW,NJD,10,0,1,1,-2,2,-0.2,0,0,0,0,1,0,0,13,0.0,122,12:13,2,12,0,0,
Ladislav Smid\smidla01,28,D,CGY,31,0,1,1,-12,13,-0.6,0,0,0,0,1,0,0,21,0.0,433,13:58,54,51,0,0,
Frédéric St. Denis\stdenfr01,29,D,CBJ,4,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,2,0.0,53,13:18,2,2,0,0,
Daniil Tarasov\tarasda01,23,RW,SJS,5,0,1,1,2,0,0.1,0,0,0,0,1,0,0,5,0.0,38,7:34,1,2,1,0,100.0
Trevor van Riemsdyk\vanritr01,23,D,CHI,18,0,1,1,0,2,0.4,0,0,0,0,1,0,0,21,0.0,244,13:32,15,4,0,0,
Tomas Vincour\vincoto01,24,C,COL,7,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,2,0.0,50,7:10,4,5,0,0,
David Warsofsky\warsoda01,24,D,BOS,4,0,1,1,1,0,0.3,0,0,0,0,1,0,0,7,0.0,71,17:46,2,2,0,0,
Will Acton\actonwi01,27,C,EDM,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,2,0.0,32,10:43,3,3,4,4,50.0
Luke Adam\adamlu01,24,C,CBJ,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,,19,6:27,0,2,0,0,
Jason Akeson\akesoja01,24,RW,PHI,13,0,0,0,-1,8,-0.2,0,0,0,0,0,0,0,9,0.0,105,8:03,4,11,1,1,50.0
Conor Allen\allenco01,25,D,NYR,4,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,49,12:12,0,6,0,0,
Mark Alt\altma01,23,D,PHI,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:25,0,1,0,0,
Mike Angelidis\angelmi01,29,LW,TBL,3,0,0,0,0,12,0.0,0,0,0,0,0,0,0,0,,22,7:21,0,5,7,12,36.8
Joel Armia\armiajo01,21,RW,BUF,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,15,14:47,0,4,0,0,
Viktor Arvidsson\arvidvi01,21,LW,NSH,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,9,0.0,62,10:15,5,3,0,0,
Carter Ashton\ashtoca01,23,RW,TOR,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,44,6:13,3,6,1,4,20.0
Kyle Baun\baunky01,22,RW,CHI,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,38,12:32,0,12,0,0,
Anthony Bitetto\bitetan01,24,D,NSH,7,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,2,0.0,82,11:47,3,9,1,0,100.0
Jesse Blacker\blackje01,23,D,ANA,1,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,0,,6,6:03,1,1,0,0,
Mike Blunden\blundmi01,28,RW,TBL,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,20,9:47,0,7,0,0,
Troy Bodie\bodietr01,30,RW,TOR,5,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,23,4:37,0,4,0,0,
Alexandre Bolduc\boldual01,29,C,ARI,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,32,10:40,1,17,10,9,52.6
Patrick Bordeleau\bordepa02,28,LW,COL,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:46,0,2,0,0,
Ryan Bourque\bourqry01,24,C,NYR,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,11:49,0,0,0,0,
Drayson Bowman\bowmadr01,25,LW,MTL,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,20,6:31,0,3,0,0,
Julien Brouillette\brouiju01,28,D,WPG,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,10,9:33,1,1,0,0,
Mike Brown\brownmi02,29,RW,SJS,12,0,0,0,0,22,-0.2,0,0,0,0,0,0,0,11,0.0,98,8:12,7,42,4,3,57.1
Patrick Brown\brownpa02,22,C,CAR,7,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,4,0.0,62,8:53,2,11,0,2,0.0
Jordan Caron\caronjo01,24,RW,TOT,30,0,0,0,-2,18,-0.5,0,0,0,0,0,0,0,12,0.0,241,8:02,8,41,0,1,0.0
Taylor Chorney\chornta01,27,D,PIT,7,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,4,0.0,85,12:10,3,5,0,0,
Rich Clune\cluneri01,27,LW,NSH,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,5:30,0,3,0,0,
Chris Conner\connech01,31,RW,WSH,2,0,0,0,1,4,0.0,0,0,0,0,0,0,0,3,0.0,18,8:49,0,0,0,0,
Patrice Cormier\cormipa01,24,C,WPG,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,4:54,0,1,3,2,60.0
Nick Cousins\cousini01,21,C,PHI,11,0,0,0,1,2,-0.1,0,0,0,0,0,0,0,6,0.0,97,8:49,5,13,23,29,44.2
Ryan Craig\craigry01,33,C,CBJ,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,15,7:17,0,2,0,0,
Kyle Cumiskey\cumisky01,28,D,CHI,7,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,5,0.0,93,13:18,11,3,0,0,
Jerry D'Amigo\damigje01,23,RW,BUF,9,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,7,0.0,88,9:44,7,8,0,0,
Phillip Danault\danauph01,21,C,CHI,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,19,9:30,0,3,6,14,30.0
Brandon DeFazio\defazbr01,26,LW,VAN,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,12,5:57,0,0,0,0,
Gabriel Dumont\dumonga01,24,C,MTL,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,27,9:07,2,8,11,2,84.6
Stefan Elliott\elliost01,24,D,COL,5,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,10,0.0,70,13:56,5,2,0,0,
Bobby Farnham\farnhbo01,26,RW,PIT,11,0,0,0,0,24,-0.1,0,0,0,0,0,0,0,6,0.0,79,7:11,2,26,0,0,
Kevin Fiala\fialake01,18,LW,NSH,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,11,11:25,1,0,0,0,
Mark Fistric\fistrma01,28,D,ANA,9,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,1,0.0,133,14:47,21,28,0,0,
Colin Fraser\fraseco01,30,C,STL,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,5,4:42,1,1,0,0,
Matt Frattin\frattma01,27,RW,TOR,9,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,6,0.0,64,7:03,4,4,1,0,100.0
Max Friberg\fribema01,22,LW,ANA,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,8:47,0,2,0,0,
Tyler Gaudet\gaudety01,21,C,ARI,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,19,9:35,1,2,9,8,52.9
Shayne Gostisbehere\gostish01,21,D,PHI,2,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,2,0.0,25,12:34,1,0,0,0,
Petter Granberg\granbpe01,22,D,TOR,7,0,0,0,1,6,0.2,0,0,0,0,0,0,0,1,0.0,80,11:27,7,16,0,0,
Tyler Graovac\graovty01,21,C,MIN,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,28,9:13,2,0,6,16,27.3
Micheal Haley\haleymi01,28,C,SJS,4,0,0,0,-1,11,-0.1,0,0,0,0,0,0,0,1,0.0,30,7:31,1,6,1,1,50.0
Curtis Hamilton\hamilcu01,23,LW,EDM,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,8,8:01,1,4,0,0,
Scott Harrington\harrisc01,21,D,PIT,10,0,0,0,-10,4,-0.7,0,0,0,0,0,0,0,9,0.0,158,15:48,10,12,0,0,
Ryan Hartman\hartmry01,20,RW,CHI,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,8,0.0,41,8:17,2,11,0,0,
Eriah Hayes\hayeser01,26,RW,SJS,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,10,0.0,40,9:58,4,7,1,0,100.0
Dany Heatley\heatlda01,34,LW,ANA,6,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,8,0.0,73,12:08,3,5,0,0,
Raman Hrabarenka\hrabara01,22,D,NJD,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,12,11:55,6,2,0,0,
Nicklas Jensen\jenseni01,21,RW,VAN,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,7,0.0,48,9:33,4,7,0,0,
Blair Jones\jonesbl01,28,C,PHI,4,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,0,,28,6:55,1,7,5,5,50.0
Alexander Khokhlachev\khokhal01,21,C,BOS,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,25,8:12,0,1,9,8,52.9
Carl Klingberg\klingca01,24,LW,WPG,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,7,3:19,0,2,0,0,
Corban Knight\knighco01,24,C,CGY,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,13,6:24,1,4,9,2,81.8
Slater Koekkoek\koekksl01,20,D,TBL,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,6,0.0,50,16:35,3,2,0,0,
Brett Kulak\kulakbr01,21,D,CGY,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,20,19:31,0,0,0,0,
Oliver Lauridsen\lauriol01,25,D,PHI,1,0,0,0,-1,10,-0.1,0,0,0,0,0,0,0,2,0.0,10,10:26,0,2,0,0,
Oscar Lindberg\lindbos02,23,C,NYR,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:18,0,3,2,3,40.0
Matt Lindblad\lindbma01,24,C,BOS,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,16,7:46,0,2,0,5,0.0
Keegan Lowe\loweke02,21,D,CAR,2,0,0,0,-2,10,-0.1,0,0,0,0,0,0,0,0,,28,13:51,4,3,0,0,
Ryan Malone\malonry01,35,LW,NYR,6,0,0,0,-4,4,-0.3,0,0,0,0,0,0,0,6,0.0,60,10:02,2,14,1,0,100.0
Jake McCabe\mccabja01,21,D,BUF,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,22,11:08,1,4,0,0,
Brian McGrattan\mcgrabr01,33,RW,CGY,8,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,10,0.0,53,6:38,1,11,0,0,
Dylan McIlrath\mcilrdy01,22,D,NYR,1,0,0,0,0,9,0.0,0,0,0,0,0,0,0,0,,8,8:02,3,2,0,0,
Greg McKegg\mckeggr01,22,C,TOR,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,28,9:11,2,3,17,16,51.5
Travis Morin\morintr01,31,C,DAL,6,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,10,0.0,73,12:06,0,3,28,32,46.7
Stefan Noesen\noesest01,21,RW,ANA,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:54,1,0,0,0,
Darnell Nurse\nurseda01,19,D,EDM,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,34,17:00,0,5,0,0,
Steven Oleksy\oleksst01,28,D,WSH,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,12:11,0,2,0,0,
Colton Orr\orrco01,32,RW,TOR,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,6:06,,0,,,
Greg Pateryn\patergr01,24,D,MTL,17,0,0,0,0,6,0.2,0,0,0,0,0,0,0,10,0.0,215,12:39,18,48,0,0,
Joe Piskula\piskujo01,30,D,NSH,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,16,16:27,2,0,0,0,
Corey Potter\potteco01,31,D,CGY,6,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,58,9:40,6,7,0,0,
John Ramage\ramagjo01,23,D,CGY,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,18,18:10,2,4,0,0,
Brendan Ranford\ranfobr01,22,LW,DAL,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,9:19,0,2,0,0,
Dylan Reese\reesedy01,30,D,ARI,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,20,19:58,2,2,0,0,
Max Reinhart\reinhma01,22,C,CGY,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,32,8:05,3,1,6,23,20.7
Rasmus Rissanen\rissara01,23,D,CAR,6,0,0,0,-5,4,-0.3,0,0,0,0,0,0,0,3,0.0,90,14:59,7,25,0,0,
Bobby Robins\robinbo01,33,C,BOS,3,0,0,0,0,14,0.0,0,0,0,0,0,0,0,0,,23,7:35,0,6,0,0,
Henrik Samuelsson\samuehe01,20,C,ARI,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,4,0.0,40,13:16,0,5,2,0,100.0
Philip Samuelsson\samueph01,23,D,ARI,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,68,16:53,4,2,0,0,
Cameron Schilling\schilca01,26,D,WSH,4,0,0,0,1,4,0.1,0,0,0,0,0,0,0,2,0.0,46,11:23,2,4,0,0,
Devin Setoguchi\setogde01,28,RW,CGY,12,0,0,0,-7,4,-0.6,0,0,0,0,0,0,0,12,0.0,146,12:09,5,12,1,1,50.0
Justin Shugg\shuggju01,23,RW,CAR,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,17,5:42,0,3,0,0,
Duncan Siemens\siemedu01,21,D,COL,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,14:00,0,2,0,0,
Colin Smith\smithco01,21,C,COL,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,6,6:06,0,1,4,6,40.0
Karl Stollery\stollka01,27,D,TOT,10,0,0,0,-1,6,0.0,0,0,0,0,0,0,0,9,0.0,147,14:44,21,23,0,0,
Ben Street\streebe01,27,C,COL,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,35,11:36,0,3,17,15,53.1
Brody Sutter\suttebr05,23,C,CAR,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,30,7:26,2,3,7,7,50.0
Eric Tangradi\tangrer01,25,LW,MTL,7,0,0,0,-3,17,-0.2,0,0,0,0,0,0,0,5,0.0,54,7:44,4,12,1,0,100.0
Kimmo Timonen\timonki01,39,D,CHI,16,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,10,0.0,192,11:59,15,15,0,0,
Dana Tyrell\tyrelda01,25,C,CBJ,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,21,6:56,3,5,0,0,
Dominik Uher\uherdo01,22,C,PIT,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,6:28,1,2,0,0,
David Van Der Gulik\vandeda01,31,LW,LAK,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,5,5:15,0,1,0,0,
Aaron Volpatti\volpaaa01,29,LW,WSH,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,19,9:37,1,3,0,0,
Chris Wagner\wagnech01,23,RW,ANA,9,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,7,0.0,79,8:47,3,22,33,22,60.0
Garrett Wilson\wilsoga01,23,LW,FLA,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0.0,18,8:51,1,5,0,0,
Ryan Wilson\wilsory01,27,D,COL,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,34,11:12,3,6,0,0,
Scott Wilson\wilsosc01,22,C,PIT,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:21,,0,,,
Luke Witkowski\witkolu01,24,D,TBL,16,0,0,0,0,15,0.1,0,0,0,0,0,0,0,10,0.0,243,15:11,22,40,0,0,
David Wolf\wolfda01,25,LW,CGY,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,28,9:23,0,7,1,1,50.0
Brendan Woods\woodsbr01,22,LW,CAR,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,12,6:02,0,2,0,0,
Tyler Wotherspoon\wothety01,21,D,CGY,1,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,20,20:19,4,0,0,0,
Bogdan Yakimov\yakimbo01,20,C,EDM,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,11,11:19,0,2,3,4,42.9
Harry Zolnierczyk\zolniha01,27,LW,NYI,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,22,11:08,1,6,0,2,0.0
