,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Niklas Hjalmarsson\hjalmni01,27,D,CHI,82,3,16,19,25,44,6.4,3,0,0,1,16,0,0,97,3.1,1795,21:53,127,39,0,0,
Brooks Orpik\orpikbr01,34,D,WSH,78,0,19,19,5,66,3.9,0,0,0,0,19,0,0,66,0.0,1700,21:48,192,306,0,0,
Dmitrij Jaskin\jaskidm01,21,RW,STL,54,13,5,18,7,16,2.5,10,3,0,4,5,0,0,108,12.0,727,13:28,21,146,3,4,42.9
Luke Glendening\glendlu01,25,C,DET,82,12,6,18,5,34,1.6,11,1,0,2,6,0,0,104,11.5,1207,14:43,73,147,499,463,51.9
Casey Cizikas\cizikca01,23,C,NYI,70,9,9,18,-2,24,1.3,7,0,2,2,8,1,0,90,10.0,876,12:31,50,144,446,409,52.2
Markus Granlund\granlma01,21,C,CGY,48,8,10,18,-4,16,1.6,7,1,0,1,9,1,0,65,12.3,642,13:22,25,44,198,331,37.4
Ryan Spooner\spoonry01,23,C,BOS,29,8,10,18,2,2,2.3,5,3,0,1,8,2,0,73,11.0,422,14:32,5,17,100,120,45.5
Mattias Ekholm\ekholma01,24,D,NSH,80,7,11,18,12,52,5.0,6,1,0,1,10,1,0,86,8.1,1521,19:01,102,57,1,0,100.0
Calle Jarnkrok\jarnkca01,23,C,NSH,74,7,11,18,2,18,1.2,7,0,0,1,10,0,1,95,7.4,951,12:51,21,32,295,345,46.1
James Sheppard\sheppja01,26,C,TOT,71,7,11,18,-4,37,1.0,7,0,0,1,10,1,0,79,8.9,941,13:15,40,112,246,271,47.6
Maxime Talbot\talboma01,30,C,TOT,81,5,13,18,-1,29,0.7,5,0,0,1,13,0,0,97,5.2,1102,13:37,51,132,76,82,48.1
Nate Thompson\thompna01,30,C,ANA,80,5,13,18,0,39,0.6,4,0,1,3,13,0,0,87,5.7,1066,13:19,52,204,557,496,52.9
Matt Carle\carlema01,30,D,TBL,59,4,14,18,12,26,4.0,3,1,0,0,14,0,0,73,5.5,1209,20:29,109,27,0,0,
Brandon Prust\prustbr01,30,LW,MTL,82,4,14,18,6,134,1.0,4,0,0,0,13,0,1,78,5.1,1063,12:58,34,122,16,15,51.6
Tomas Jurco\jurcoto01,22,RW,DET,63,3,15,18,6,14,1.4,2,1,0,0,14,1,0,92,3.3,725,11:31,11,97,0,2,0.0
Kyle Quincey\quincky01,29,D,DET,73,3,15,18,10,77,4.4,3,0,0,0,14,0,1,90,3.3,1422,19:29,82,104,0,0,
Michael Stone\stonemi01,24,D,ARI,81,3,15,18,-24,60,2.7,3,0,0,0,10,5,0,144,2.1,1690,20:52,189,202,1,0,100.0
Brett Connolly\connobr01,22,RW,TOT,55,12,5,17,3,48,2.1,10,2,0,2,4,1,0,83,14.5,668,12:09,13,90,18,25,41.9
Richard Panik\panikri01,23,RW,TOR,76,11,6,17,-8,49,1.4,9,2,0,1,6,0,0,87,12.6,885,11:39,57,101,2,5,28.6
Boone Jenner\jennebo01,21,C,CBJ,31,9,8,17,-5,12,1.7,7,2,0,2,5,3,0,83,10.8,566,18:16,25,102,151,155,49.3
Marcus Kruger\krugema01,24,C,CHI,81,7,10,17,-5,32,0.8,7,0,0,1,10,0,0,126,5.6,1060,13:05,50,29,357,313,53.3
Matt Stajan\stajama01,31,C,CGY,59,7,10,17,7,28,1.7,7,0,0,0,9,0,1,46,15.2,708,12:00,21,72,306,307,49.9
